index,Image_name,ml,centroid_x,centroid_y,centroid_radius,multi_terminal,ap
0,3534_whole_s1_b3_408_488_594_097.nd2,1131.143742778617,3793.7,869.12,119.79140127388534,0,-300
1,3534_whole_s3_b1_408_488_594_114.nd2,827.0243576486378,6208.2,3174.8,82.67197452229298,0,-2000
2,3534_whole_s2_b4_408_488_594_109.nd2,881.4671429895672,6490.3,2394.9,126.86464968152866,0,-1500
3,3534_whole_s2_b3_408_488_594_108.nd2,950.2160992169524,7990.5,2620.7,91.0015923566879,0,-1400
4,3534_whole_s3_b5_408_488_594_118.nd2,2181.5426155223613,9492.4,4439.7,68.8375796178344,0,-2400
5,3534_whole_s1_b4_408_488_594_098.nd2,1239.984726258267,3540.2,819.72,95.22133757961784,0,-400
6,3534_whole_s4_b4_408_488_594_122.nd2,2467.7889406007544,9706.5,3453.7,64.3312101910828,0,-2800
7,3534_whole_s3_b3_408_488_594_116.nd2,1307.8503337739758,5874.0,3541.3,81.62420382165605,0,-2200
8,3534_whole_s2_b5_408_488_594_110.nd2,884.6266601345739,6454.7,2494.2,116.59394904458598,0,-1600
